Name,Fire mode,Image,Weapon type,Ammo type,Capacity[Dual],Damage[Hardened],Fire tate [Dual],DPS[Dual],Reload time [Dual],Special features,Version added,Countering
Fists,Swing,,Melee,N/A,N/A,24,4,96,0,N/A,,"Early game combat, but watch out for people who spam click with it."
Knuckles,Swing,,Melee,N/A,N/A,24,4,96,0,N/A,,"Early game combat, but watch out for people who spam click with it."
Karambit,Swing,,Melee,N/A,N/A,24,4,96,0,N/A,2018-07-26,"Early game combat, but watch out for people who spam click with it."
Bayonet,Swing,,Melee,N/A,N/A,24,4,96,0,N/A,2018-07-26,"Early game combat, but watch out for people who spam click with it."
Huntsman,Swing,,Melee,N/A,N/A,24,6.7,96,0,N/A,2018-07-26,"Early game combat, but watch out for people who spam click with it."
Bowie,Swing,,Melee,N/A,N/A,24,4,96,0,N/A,2018-07-26,"Early game combat, but watch out for people who spam click with it."
Wood Axe,Swing,,Melee,N/A,N/A,36,2.8,101,0,Armor Piercing (Can Break Ammo Crates),2018-07-26,"Simillar Countering for the Knives and Fists, be more careful since it has extra damage and range, and fast clicking."
Fire Axe,Swing,,Melee,N/A,N/A,44,2.4,105,0,Armor Piercing (Can Break Ammo Crates),2018-10-18,"Same Countering for the Wood Axe, but more careful since it has extremely high damage and fast clicking."
Hook,Swing,,Melee (Auto),N/A,N/A,18,5.7,103,0,Automatic,2018-07-26,"Same Countering for the Knives and Fists, but don't get in its way since it is automatic and you'll most likely get damaged."
Pan,Swing,,Melee,N/A,N/A,60,2,120,0,Appears on your back when not equipped. Unequipped Pan reflects bullets.,2018-07-26,"Similar Countering for the Wood and Fire Axe, but try to avoid being in front of it as it has the highest damage of all the melees. Attack only when the player faces the Pan away you."
Katana,Swing,,Melee,N/A,N/A,40,2.5,100,0,"Armor Piercing (Can Break Ammo Crates), Cleave effect",2018-10-29,"Similar Countering for the Wood and Fire Axe, but try to avoid being in front of it and keep extra range as it has the high damage and range."
Naginata,Swing,,Melee,N/A,N/A,56,,103.7,0,"Armor Piercing (Can Break Ammo Crates), Cleave effect",2019-03-21,"Similar Countering for the Katana, but try to avoid being in front of it and keep extra range as it has the high damage and range."
Stone Hammer,Swing,,Melee,N/A,N/A,60,2.5,120,,Armor Piercing and Stone Piercing (can break Ammo Crates and Stone-plated Obstacles),2018-10-06,"Keep your range, as it has extremely high damage. Or make sure you have a good amount of adrenaline since the hitbox is very small."
War Hammer,Swing,,Melee,N/A,N/A,64,?,?,?,Armor Piercing and Stone Piercing (can break Ammo Crates and Stone-plated Obstacles),2019-2-12,"Similar countering to the Naginata, since it's identical but more damage."
Machete,Swing,,Melee,N/A,N/A,33,10/3,110,,N/A,2019-01-31,"Keep your range, as it has high damage and fast CPS."
Kukri,Swing,,Melee,N/A,N/A,33,10/3,110,,N/A,2019-01-31,The same as the Machete.
Bonesaw,"Swing,Double-action",,Melee,N/A,N/A,44,,127.5,,"Cleave, Double-action",2019-05-10,"Keep your range to avoid it from hitting you. And don't even think about getting close, since it has fast CPS and good damage."
Crowbar,Swing,,Melee,N/A,N/A,33,,?,,N/A,2019-2-12,Keep your range to avoid it from hitting you.
Spade,Swing,,Melee,N/A,N/A,40,?,N/A,,N/A,2019-2-12,"Keep your range to avoid it from hitting you. Or counter it with adrenaline, since the CPS is slower compare to other melee."
Ice Pick,Swing,,Melee,N/A,N/A,52,?,N/A,,N/A,,Keep your range to avoid it from hitting you.
Lasr Swrd,Swing,,Melee,N/A,N/A,60,?,N/A,,"Cleave Effect, Armor Piercing, Swings can deflect bullets.",,Keep your range to avoid it from hitting you. Use a fully automatic weapon.
Frag Grenade,Throw,,Throwable,N/A,N/A,125,2.5(4 sec fuse),312.5,0,N/A,,"Keep your range, as it will most likely one hit kill you if you don't have max armor."
Heart Frag,Throw,,Throwable,N/A,N/A,125,2.5(4 sec fuse),312.5,0,N/A,,"Keep your range, as it will most likely one hit kill you if you don't have max armor."
Smoke Grenade,Throw,,Throwable,N/A,N/A,0,2.5,0,0,Gives visual cover. Reduces vision to 1x.,2018-03-23,"Don't go in it. Or get in and wait the enemy to come, making a suprise attack (although this can be a disavantage if the enemy have a good scope and have a high damage weapon, checking the smoke if there's anyone, but this can also be a bait)"
MIRV Grenade,Throw,,Throwable,N/A,N/A,125,2.5(4 sec fuse),312.5,0,Grenade splits into 6 smaller grenades that explode after the first explosion,2018-10-18,"Keep your range, as it will most likely one hit kill you if you don't have good or max armor, keep away when it explodes, as smaller grenades will also form."
Snowball,Throw,,Throwable,N/A,N/A,2[5],,,,When hit drops a random item from your inventory,2018-12-19,Move around to avoid it hitting you.
Potato,Throw,,Throwable,N/A,N/A,2[5],,,,When hit drops a random item from your inventory,2019-04-01,Move around to avoid it hitting you.
Strobe,Throw,,Throwable,N/A,N/A,3,3,1,3,"Summons in an airstrike where it's thrown, in the direction thrown.",2019-02-22,Run away immediately when you see one throwing it.
Mine,Throw,,Throwable,N/A,N/A,125,2.5(4 sec fuse),312.5,0,Lands on ground and arms in 5 seconds. Approaching triggers explosion after it is armed. Expires after ??? seconds.,,"Keep your range, as it will most likely one hit kill you if you don't have max armor. and you can also see the landmine, so quickly go on it and go away, or shoot on it (will trigger as well)"
M9,Semi-Automatic,,Pistol,9mm,15[30],12,8.3[12.5],100[150],1.6[3.1],N/A,,"Almost every gun can counter it, however don’t get in close with someone who has dual M9s."
